activity_id,activity_date,developer,project_code,project_name,requirement_id,deliverable_id,activity_type,activity_title,activity_summary,systems_touched,files_touched,evidence_refs,reusable_asset_created,reusable_pattern,validation_rule,gap_or_risk,next_action,status,priority,llm_queryable,company_knowledge_candidate,memory_tags,source_skill_file,source_type
D01-A01,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,discovery,Discovery sweep - no existing returns dashboard; confirmed build not extend,"Swept the repo, git history, the wider filesystem and the database for any existing returns/refund dashboard before writing anything. Repo was empty (zero commits, unborn main). Found two returns views in staging_ai (amazon_fbm_returns_opportunity_engine_v1 and v_returns_ph_board_feed_proposal_v1) but both are Amazon FBM only, so neither answers the Amazon+eBay requirement. Found the sibling POSTAGE-RECONCILIATION-SYSTEM carrying the three TABLE_*.md table skills the requirement claimed were already in this project but were not. Also found amazon_returns and ebay_returns carry NO indexes at all.","postgresql-readonly,filesystem,git",documentation/Task_Brief_Returns_Reason_Hotspot_Report.md,"staging_ai.amazon_fbm_returns_opportunity_engine_v1; staging_ai.v_returns_ph_board_feed_proposal_v1; POSTAGE-RECONCILIATION-SYSTEM/skills/TABLE_{amazon_returns,ebay_returns,order_transaction}.md; zero indexes on amazon_returns/ebay_returns",true,"Discovery before build - search repo, git, filesystem AND database views for an existing asset before creating a competing one, to avoid duplicate truth",,Requirement claimed reference files were already in the project; they were not. Neither existing staging_ai view covers eBay.,Build fresh; reuse the sibling project's table skills and folder conventions,completed,medium,true,true,"discovery,duplicate-risk,returns,staging-ai,reuse,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A02,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,investigation,DR-001 - the requirement's eBay SKU join double-counts refunds by +12.7%,"The requirement's Step 4 joins ebay_returns to order_transaction on order_id alone. order_transaction is a LINE-ITEM table, so a returned order containing several basket items fans out and the same refund is counted once per SKU. Measured on live data: 489 return rows become 581 after the join; 42 orders fan out; worst case one order across 10 line items. This inflates the eBay SKU refund total from a true 11384.44 to 12825.91 (+12.7%) AND blames innocent SKUs that merely shared a basket with a faulty item - which corrupts the exact decision the report exists to drive.",postgresql-readonly,"duplicate-risk-reports/DR-001-ebay-sku-join-fanout.md,sql/returns_hotspot_queries.sql","489 rows -> 581 after join; 42 fan-out orders; max 10 line items; naive total 12825.91 vs true 11384.44 = +12.7%; item_id join resolves 440/489 (90%) to one SKU, 46 variation listings, 3 unmatched (74.79)",true,"Any table named *_transaction or *_item is probably LINE-ITEM grain. Joining a return/refund/event table to it on order_id alone is a fan-out. Always check the grain of the right-hand table before joining - this will recur on Shopify, Wayfair, B&Q.","Resolve eBay SKU by joining order_transaction ON order_id AND item_id, never order_id alone. Where one item_id maps to several SKUs (variation listing) split refund and units evenly. Where no order line matches, emit an explicit UNATTRIBUTED row - never silently drop the refund.",DWC specified the original SQL. The fix overrides him and is not yet ratified.,DWC to ratify the corrected join,completed,critical,true,true,"fan-out,join-grain,line-item,ebay,dr-001,duplicate-risk,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A03,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,investigation,The requirement's Amazon SQL sums four currencies into one number labelled GBP,"The requirement's Steps 1 and 2 run SUM(refunded_amount) with no currency grouping. Amazon in this window carries GBP, USD, EUR, CAD and 677 rows with a NULL currency. The requirement's SQL therefore adds pounds to dollars to euros and prints the result under a pound-sign header, producing a meaningless headline of 36899.74. This is the exact error the requirement's own scope table forbids - it simply never noticed Amazon is itself multi-currency. Every query now partitions by currency and the dashboard scopes to one currency at a time.",postgresql-readonly,"sql/returns_hotspot_queries.sql,Dashboard/index.html","Amazon per-currency: GBP 21412.33 (1205 rows), UNSPECIFIED 6082.71 (677), USD 4638.24 (121), EUR 4362.85 (182), CAD 403.61 (14); requirement's ungrouped SQL yields 36899.74 labelled GBP",true,Multi-currency is not only a cross-platform problem - a single marketplace can be multi-currency internally. Any SUM over a money column without a currency GROUP BY is a bug until proven otherwise.,"IF aggregating any refund figure THEN GROUP BY currency, always. Never sum across currencies and never sum Amazon with eBay.",Not ratified by DWC,DWC to ratify per-currency scoping,completed,critical,true,true,"multi-currency,currency-scope,aggregation-bug,amazon,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A04,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,investigation,Amazon reason codes carry a CR- prefix inconsistently - grouping raw splits one reason in two,"Live Amazon reason codes mostly carry a CR- prefix, but the same logical reason appears both with and without it (CR-NOT_COMPATIBLE and NOT_COMPATIBLE are the same reason from the same feed). Grouping on the raw column splits one reason across two rows and both look smaller than they are. The prefix is now stripped mechanically with regexp_replace(reason,'^CR-',''). No reason was renamed or merged beyond that. Separately, the reason lists printed in the requirement were wrong for BOTH platforms - eBay's real codes (WRONG_SIZE, ORDERED_ACCIDENTALLY, NO_LONGER_NEED_ITEM) barely overlap with the documented ones.",postgresql-readonly,"sql/returns_hotspot_queries.sql,data-maps/TABLE_MAP.md",NOT_COMPATIBLE GBP: 347 returns / 5665.27 after normalisation; requirement's ungrouped reason query returns 34 rows vs 17 after stripping; eBay actual codes differ from the requirement's list,true,Enum-ish text columns drift. The same value arrives both prefixed and unprefixed from the same feed. Normalise before grouping or the same category silently splits into two rows.,Strip the CR- prefix from amazon_returns.reason before any GROUP BY.,AMZ-PG-BAD-DESC left as its own reason - see D01-A08,Confirm the normalisation with DWC,completed,high,true,true,"enum-drift,reason-codes,normalisation,amazon,ebay,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A05,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,implementation,Built the self-contained HTML report from real pulled data,"Executed all four queries against live PostgreSQL and embedded the real result rows in a single self-contained HTML file - CSS, JS and data inline, zero external references. Four sections in the required order (Amazon reasons, Amazon SKUs, eBay reasons, eBay SKUs), header with title/date/snapshot disclaimer, top-3 rows shaded, all tables sorted by refund descending. The three SQL deviations were disclosed in a panel on the page itself so the team lead sees them without being told. Stretch goal delivered: every top SKU shows its most common return reason.","postgresql-readonly,html,css,javascript","Dashboard/index.html,sql/returns_hotspot_queries.sql",GBP headline: Amazon 1205 returns / 21412.33 (top reason NOT_COMPATIBLE 5665.27); eBay 340 returns / 7742.62 (top reason WRONG_SIZE 1885.89); rendered and screenshotted in a browser,true,"Disclose deviations from a requirement ON the artefact itself, not in a side email - the reviewer sees them without being told and cannot miss them.",,,Zero-trust revalidation before delivery,completed,high,true,true,"dashboard,html,self-contained,returns,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A06,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,validation,Zero-trust revalidation - re-ran every query and diffed 896 cells against the HTML,"Refused to trust the prior build. Re-ran all four queries from scratch and diffed the results cell-by-cell in code against what the HTML actually embedded - 896 cells across 206 rows. Every value matched. Re-verified every claim the report makes about itself (2199/489/5064 row counts, 42 fan-out orders, 12825.91 vs 11384.44, +12.7%, 440/46/3 item_id resolution). All exact. The only discrepancy found was a tie-ordering artefact, not a data error - see D01-A11.",postgresql-readonly,validation/reconciliation.md,"896 cells compared, 887 exact, 9 differences all confined to tie-ordering of three zero-refund rows; all self-claims re-verified exact",true,"Zero-trust revalidation - re-derive from source and diff programmatically, never eyeball. A report that cannot be re-derived is not validated.","Before delivery, re-run every query and diff the result set against the artefact cell by cell in code.",Revealed the undisclosed Amazon refund coverage gap - see D01-A07,Surface the coverage gap to DWC,completed,high,true,true,"zero-trust,revalidation,cell-diff,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A07,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,investigation,GAP - Amazon refund coverage is 42.7% incomplete and the dashboard does not say so,"940 of 2199 Amazon returns carry refunded_amount = NULL. In GBP that is 313 of 1205 (26%). They contribute zero to the report not because they were free but because the field is empty. Only 9 of the 940 are recoverable from amz_order_expenses (555.30), so this is upstream data incompleteness, not a query bug. The KPI card shows 'Total Returns 1,205' beside 'Total Refund 21,412.33', which reads as though all 1205 are costed - 892 are. It also depresses the SKU ranking: a SKU whose returns all lack a refund value ranks at 0.00 despite being genuinely returned. Company's own TABLE_amazon_returns.md warns refunded_amount is a denormalised summary. Fix is a one-line caption on the KPI card; NOT YET APPLIED.",postgresql-readonly,"validation/reconciliation.md,capability/CAPABILITY.md",940/2199 NULL (42.7%); GBP 313/1205 (26%); UNSPECIFIED 543/677 (80.2%); CAD 10/14 (71.4%); only 9 rows recoverable from amz_order_expenses = 555.30; eBay by contrast has ZERO nulls,true,A NULL in a money column is not a zero. A dashboard that sums NULLs into a total silently under-reports and ranks innocent SKUs at 0.00. ALWAYS report coverage alongside a monetary total.,"When publishing any monetary total, publish the coverage (n rows with a value / n rows total) beside it.",HIGH - the report understates Amazon cost and invites a false read. Undisclosed on the page.,Add a coverage caption to the Amazon KPI card; raise with DWC,gap_identified,critical,true,true,"null-not-zero,coverage-gap,data-quality,refund,amazon,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A08,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,investigation,GAP - return rate is NOT computable for Amazon; SKU key does not match order_transaction,"Return rate (returns divided by units sold) is the metric the business most wants and it was tested hard before being rejected. amazon_returns.sku is a different key format from order_transaction.sku: only 699 of 1503 Amazon return SKUs (46%) exist in order_transaction AT ALL - verified all-time, so this is a key mismatch, not a timing gap. A rate column would be blank or wrong for over half the SKUs. It is computable for eBay alone (its SKU comes from order_transaction by construction) but a rate shown on one platform and not the other invites exactly the wrong comparison. Deliberately absent rather than misleading. Also unresolved: AMZ-PG-BAD-DESC is the 3rd-largest GBP refund reason (2340.74) and the largest USD reason - very likely the 'not as described' signal that routes to the Listing team, but merging it into NOT_AS_DESCRIBED is a taxonomy judgement for DWC.",postgresql-readonly,capability/CAPABILITY.md,"Amazon return SKUs 1503; match order_transaction 3mo 562, 12mo 610, all-time 699 (46%); any-channel all-time 711. AMZ-PG-BAD-DESC: GBP 2340.74 (3rd), USD 1289.18 (1st)",true,Refusing to ship a wanted metric is a valid deliverable. A column that is blank or wrong for half the rows is worse than its absence - it silently misleads.,"Before offering a rate/ratio metric, prove the join key resolves for a large majority of rows. Below ~90% coverage, do not ship it.","HIGH - blocks return rate, revenue-at-risk and sell-through until someone reconciles the Amazon SKU key. MEDIUM - AMZ-PG-BAD-DESC taxonomy unresolved.",Someone must reconcile amazon_returns.sku with order_transaction.sku; DWC to rule on AMZ-PG-BAD-DESC,gap_identified,critical,true,true,"sku-key-mismatch,return-rate,not-computable,capability-limit,amazon,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A09,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,implementation,"Rebuilt the report as an interactive dashboard - 4 tabs, all records, no top-15 cap","Converted the long vertical report into a tabbed dashboard: Amazon/eBay x Reasons/SKUs, instant switching, no page reload. Removed the top-15 cap so ALL records load - Amazon SKUs went from 15 to 817 rows (GBP) and eBay from 15 to 310, 2106 records embedded in total. Added live search, filters (currency scope, reason, min/max refund, min returns), click-to-sort, pagination with 10/25/50/100/All, six KPI cards per platform that recompute as filters change, sticky headers, light/dark mode, CSV export of the visible tab, and print. Still a single self-contained file with zero external references. Currency remains a required single-select scope with no 'All' option, because an all-currencies view would put four currencies in one refund column.","html,css,javascript",Dashboard/index.html,"2106 records embedded (Amazon reasons 66, Amazon SKUs 1580, eBay reasons 28, eBay SKUs 432); behavioural test suite passed - sort/filter/search/pagination/currency-isolation; validated top-15 preserved byte-identical as the first 15 rows",true,"Top-3 highlighting must follow the RECORD, not the row position - a row keeps its flag when re-sorted, so the highlight never implies a ranking that is not real.",A currency filter must never offer an 'All' option where a money column is displayed.,,Add remaining columns,completed,high,true,true,"dashboard,tabs,pagination,filters,all-records,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
D01-A10,2026-07-14,sarujanan,rrhd,Returns Reason Hotspot Dashboard,REQ-02,D01,implementation,"Added Units, Marketplace and Last Return after a fan-out safety test on each","Analysed the database for columns worth adding and tested each for fan-out risk before adding it. Units earns its place immediately - NOT_COMPATIBLE is 347 returns but 423 units, and the rank-1 SKU ENC6343 is a single return of 13 units, a bulk-return pattern the old table could not show. Marketplace was added to the SKU tabs only (verified 1:1 with the grain, zero fan-out) and deliberately NOT to the Reason tabs, where a reason is not a property of a marketplace and a dominant value would print 'UK' on every Amazon GBP row - a constant column carrying zero information. New fields were merged onto the existing validated rows BY KEY, not by position, so ranks and top-3 highlighting provably did not move: 2106 values re-checked, 0 moved.","postgresql-readonly,html,javascript","Dashboard/index.html,sql/returns_hotspot_queries.sql,workflows/REFRESH_WORKFLOW.md","Fan-out test: fulfilment 0, sub_source_name 0 (safe); market_place 6, status 26, Category 69 (would split rows). Units reconcile exactly: Amazon 2789, eBay 794. Merge-by-key assertion: 2106 values, 0 moved, 0 unmatched.",true,Fan-out guard before adding any column: a new column is safe only if functionally determined by the existing grain. COUNT(DISTINCT new_col) per grain = 0 means safe; >0 means it can only appear as MODE() WITHIN GROUP (a dominant value).,"When enriching an already-validated dataset, merge new fields onto the existing rows BY KEY, never by position - then assert 0 values moved.","label_cost (5157.26 of Amazon return postage, 83% populated) and eBay status (15 ESCALATED, 63 open) offered but not taken",Offer label_cost / true-cost and eBay escalation columns again,completed,medium,true,true,"fan-out-guard,column-grain,units,marketplace,merge-by-key,rrhd,d01",2026-07-14__sarujanan__rrhd__REQ-02-D01.md,skill_file
